lat,lon,urbanCentre,n
-0.156472052,34.922629,Ahero,54194
0.6395829,37.667929,Archers Post,6123
-0.9017152,34.5334534,Awendo,108742
1.7851169,36.7873365,Baragoi,7926
-2.25624,36.8250274,Bissil,5345
-0.8015009,35.3027226,Bomet,83440
-0.08540144,34.27414,Bondo,33197
0.5695252,34.5583766,Bungoma,54469
0.4607691,34.1114621,Busia,50099
0.2198155,34.4918988,Butere,12503
-0.0820908,35.1351291,Chemelili,7947
-0.2279535,37.6306782,Chogoria,28530
-0.320208472,37.63234044,Chuka,43064
0.0925798,40.3190719,Daadab,5624
-0.2,36.266667,Dundori,5187
-0.2982766,35.8034503,Elburgon,32578
0.053037,35.729768,Eldama Ravine,17610
0.5142775,35.2697802,Eldoret,312351
2.8070021,40.9283904,Elwak,41009
-2.074125134,37.4745,Emali,7024
-0.5388381,37.4596409,Embu,59428
-0.6064629,36.5748,Engineer,5139
-0.4532293,39.6460988,Garissa,115744
-1.0130645,36.9050566,Gatundu,5418
-0.4922735,36.3172993,Gilgil,39016
-1.0718783,36.7280692,Githiga,5184
-1.0586336,36.7779108,Githunguri,10062
1.0168475,39.4929916,Habaswein,8280
-1.48453,39.9921,Hola,17124
-0.5350427,34.4530968,Homa Bay,59165
-1.6727148,36.8425202,Isinya,8791
0.355636,37.5833061,Isiolo,46578
0.6732354,35.5083136,Iten/Tambach,44513
-1.1018224,37.0144027,Juja,42665
0.490107,35.743418,Kabarnet,25954
-2.0980751,36.7819505,Kajiado,14434
0.2827307,34.7518631,Kakamega,90670
3.7167637,34.8568982,Kakuma,36494
-3.8148404,39.6285874,Kaloleni,5474
-0.8964137,37.0021177,Kandara,12889
-1.3055671,37.3453215,Kangundo-Tala,218722
1.2481932,35.1103736,Kapenguria,36379
0.202957,35.0978385,Kapsabet,87850
0.8506608,34.7022382,Kapsokwony,6116
0.948567,35.5084609,Kapsowar,7401
-0.483158,37.1273549,Karatina,13467
-0.7134403,37.0373502,Karuri,115731
-0.2699669,34.9696094,Katito,7840
-1.1939843,34.6165033,Kehancha,29521
-0.3684466,34.649701,Kendu Bay,16030
-0.3688967,35.286286,Kericho,127042
-0.7771138,34.9458389,Keroka,49853
-0.5735225,37.3252767,Kerugoya/Kutus,35343
-1.0313701,36.8680791,Kiambu,83265
-2.4105236,37.967847,Kibwezi,5697
-1.2471951,36.6790986,Kikuyu,264714
-1.006268,34.8789697,Kilgoris,9994
-3.5106508,39.9093269,Kilifi,47957
0.7826813,34.7202041,Kimilili,94719
0.8935153,34.9258526,Kiminini,11642
-4.1393386,39.3180297,Kinango,7682
-0.207704,35.4480605,Kipkelion,47902
-1.4251869,36.6936512,Kiserian,17939
-0.677334,34.779603,Kisii,81318
-0.0917016,34.7679568,Kisumu,383444
1.019089,35.0023048,Kitale,148261
-1.4752891,36.9620104,Kitengela,56984
-1.3750813,37.9952144,Kitui,115183
-0.428442099,34.6768468,Kosele,6256
-4.1816115,39.4605612,Kwale,21378
-2.2695575,40.9006408,Lamu,18328
-1.1069305,36.6431267,Limuru,79686
-0.582624,35.1901151,Litein,8839
3.1155165,35.6040785,Lodwar,47101
-2.924797,37.508143,Loitoktok,10694
4.2020213,34.3587921,Lokichogio,17022
-0.1634664,35.5931397,Londiani,44843
0.04563891,34.5836,Luanda,49156
0.6405607,34.983731,Lumakanda,10548
-1.5176837,37.2634146,Machakos,150467
-0.4725528,39.6027669,Madogo,15705
-3.033333,40.066667,Magarini,6098
-0.9820293,36.5864447,Mai Mahiu,10783
0.0037523,36.4202014,Mairo_Inya,10053
-1.2860894,36.8425202,Majengo,7396
-2.2777039,37.8246955,Makindu,8503
-0.902584,37.1874835,Makuyu,47452
0.636206,34.2782765,Malaba,20623
-3.2191864,40.1168906,Malindi,115882
3.9356389,41.8551162,Mandera,87150
-0.794421,37.13122,Maragwa,25081
1.0931431,36.7018311,Maralal,15213
-2.7864232,40.1247931,Marereni,6252
-3.8634574,39.4737607,Mariakani,30671
0.4694721,35.9832743,Marigat,6764
-0.1570413,37.9778247,Marimanti,8535
2.3354966,37.9943453,Marsabit,14474
-1.6974195,40.1228727,Masalani,13900
-0.0067175,34.5985158,Maseno,5426
-0.8611284,34.9309,Masimba,34973
0.8272566,35.1206893,Matunda,7889
-1.1407002,37.5481236,Matuu,51025
-0.6055243,36.007764,Mau Narok,5293
0.242327971,37.9287,Maua,16443
-1.4577245,36.9785033,Mavoko,135571
-0.4367915,34.2060283,Mbita,11948
1.0667923,38.647412,Merti,6515
0.054312,37.6444,Meru,57940
-1.0706976,34.4752715,Migori,66234
-0.0207658,35.9560546,Mogotio,5162
0.8766986,35.1200016,Moi’s Bridge,17884
-0.230157,35.72924,Molo,40555
-4.0434771,39.6682065,Mombasa,925137
3.5399846,39.0528407,Moyale,37076
-4.4652898,39.481266,Msambweni,12503
-3.9385695,39.7497984,Mtwapa,48426
-0.1566093,35.1983598,Muhoroni,34379
-0.9988358,34.0961553,Muhuru Bay,6144
-0.5609407,37.0487552,Mukurwe-Ini,5402
0.3332218,34.4877423,Mumias,102208
-0.7236858,37.1606968,Murang’a,30949
-3.5032932,38.3639837,Mwatate,5570
-0.337328,36.9218584,Mweiga,5103
-0.937411,38.0605006,Mwingi,14900
-1.040844691,36.15095667,Nairagie Enkare,5840
-1.2920659,36.8219462,Nairobi,3109861
-0.7171778,36.4310251,Naivasha,170551
